# Geofeed https://raw.githubusercontent.com/Allianz/geofeed/main/geofeed.csv
# This file follows the Self-Published IP Geolocation Feeds format defined in RFC 8805.
# https://www.rfc-editor.org/rfc/rfc8805
#
# Maintained by: Allianz Technology SE — Network Engineering
# License: CC0 1.0 Universal (Public Domain)
#
# Format: ip_prefix,alpha2code,region,city,postal_code
#
# ip_prefix,alpha2code,region,city,postal_code
91.206.86.0/23,PL
103.233.172.0/22,SG
103.233.172.0/23,AU
103.233.174.0/23,SG
194.34.174.0/24,UK
194.127.1.0/24,DE,,FRA
194.127.2.0/24,DE
194.127.3.0/24,DE
194.127.5.0/24,DE
194.127.6.0/24,DE
194.127.7.0/24,DE
194.127.8.0/24,DE
194.127.9.0/24,DE
194.127.11.0/24,FR,,PAR
194.127.12.0/24,FR
194.127.13.0/24,DE
194.127.14.0/24,FR
194.127.15.0/24,UK
194.127.16.0/24,FR
194.127.17.0/24,DE
194.127.19.0/24,FR
194.127.20.0/24,FR
194.127.21.0/24,US
194.127.22.0/24,DE
194.127.23.0/24,FR
194.127.24.0/23,DE
194.127.26.0/23,FR
194.127.28.0/24,DE
194.127.29.0/24,FR
194.127.31.0/24,US
194.127.32.0/24,DE
194.127.33.0/24,DE
194.127.34.0/24,FR
194.127.35.0/24,FR
194.127.36.0/24,UK
194.127.37.0/24,UK
194.127.56.0/24,SG
194.127.60.0/24,AU
194.127.64.0/24,DE
194.127.65.0/24,DE
194.127.66.0/24,FR
194.127.67.0/24,FR
194.127.68.0/24,SG
194.127.69.0/24,SG
194.127.70.0/24,AU
194.127.71.0/24,AU
194.127.72.0/24,US
194.127.73.0/24,US
194.127.74.0/24,US
194.127.75.0/24,US
194.127.76.0/24,IT
194.127.77.0/24,BR
194.127.78.0/24,BR
194.127.79.0/24,IN
194.127.88.0/24,DE
194.127.89.0/24,FR
203.23.96.0/23,AU
205.167.40.0/23,US
205.167.70.0/23,US
